Time(ms),Fhr1(BPM),Fhr2(BPM),Uc(TOCO),Time_sec,Avg_FHR_BPM,Avg_Pulse_Interval_ms
50000,155,0,77,50.0,154.66666666666666,387.93103448275866
50250,154,0,76,50.25,154.66666666666666,387.93103448275866
50500,154,0,76,50.5,154.66666666666666,387.93103448275866
50750,154,0,75,50.75,154.66666666666666,387.93103448275866
51000,154,0,75,51.0,154.66666666666666,387.93103448275866
51250,155,0,75,51.25,154.66666666666666,387.93103448275866
51500,155,0,75,51.5,154.66666666666666,387.93103448275866
51750,156,0,74,51.75,154.66666666666666,387.93103448275866
52000,156,0,74,52.0,154.66666666666666,387.93103448275866
52250,154,0,72,52.25,154.66666666666666,387.93103448275866
52500,154,0,72,52.5,154.66666666666666,387.93103448275866
52750,153,0,72,52.75,155.0,387.0967741935484
53000,153,0,72,53.0,155.0,387.0967741935484
53250,153,0,71,53.25,155.0,387.0967741935484
53500,153,0,71,53.5,155.0,387.0967741935484
53750,153,0,71,53.75,155.0,387.0967741935484
54000,153,0,71,54.0,155.0,387.0967741935484
54250,154,0,71,54.25,155.0,387.0967741935484
54500,154,0,71,54.5,155.0,387.0967741935484
54750,156,0,71,54.75,155.0,387.0967741935484
55000,156,0,71,55.0,155.0,387.0967741935484
55250,158,0,70,55.25,155.0,387.0967741935484
55500,158,0,70,55.5,155.0,387.0967741935484
55750,157,0,69,55.75,155.0,387.0967741935484
56000,157,0,69,56.0,155.0,387.0967741935484
56250,157,0,68,56.25,155.0,387.0967741935484
56500,157,0,68,56.5,157.4,381.1944091486658
56750,156,0,67,56.75,157.4,381.1944091486658
57000,156,0,67,57.0,157.4,381.1944091486658
57250,155,0,67,57.25,157.4,381.1944091486658
57500,155,0,67,57.5,157.4,381.1944091486658
57750,155,0,66,57.75,157.4,381.1944091486658
58000,155,0,66,58.0,157.4,381.1944091486658
58250,157,0,66,58.25,157.4,381.1944091486658
58500,157,0,66,58.5,157.4,381.1944091486658
58750,158,0,65,58.75,157.4,381.1944091486658
59000,158,0,65,59.0,157.4,381.1944091486658
59250,160,0,65,59.25,157.4,381.1944091486658
59500,160,0,65,59.5,157.4,381.1944091486658
59750,161,0,64,59.75,157.4,381.1944091486658
60000,161,0,64,60.0,157.4,381.1944091486658
60250,160,0,64,60.25,161.46666666666667,371.5937241948803
60500,160,0,64,60.5,161.46666666666667,371.5937241948803
60750,160,0,63,60.75,161.46666666666667,371.5937241948803
